url	label	predict	score
http://11asdfg1234.blogspot.com	1	1	0.96394897
http://11asdfg1234.blogspot.com/	1	1	0.9980124
http://3geffffff.blogspot.com/	1	1	0.9956364
http://65b7d3757c56390008a2d84a--ods-android.netlify.app/components/floatingactionbuttons_docs/	1	1	0.99999833
http://98c1949aefa2008521894963f3c340ce04c.github.io/	1	1	0.9998746
http://abhinand-m-s.github.io/Netflix-landing-page-demo	1	-1	0.11275998
http://achoura-coder.github.io/netflixproject	1	-1	0.07769406
http://ahmed123-pu.github.io/Amazon-website	1	-1	0.09631118
http://airy-pacific-mallow.glitch.me/public/NewNavyFederal.org.html	1	1	0.9717551
http://akashghrua.github.io/Amazon-Clone	1	-1	0.0023580396
